subway,'sʌbwei,"đường ngầm, hầm ngầm","(từ Mỹ,nghĩa Mỹ) đường xe lửa ngầm; đường xe điện ngầm","(từ Mỹ,nghĩa Mỹ) đi bằng xe lửa ngầm; đi bằng xe điện ngầm"
eleventh,i'levnθ,thứ mười một,"đến giờ chót, đến phút cuối cùng",một phần mười một
manually,,(manually operated) được điều khiển bằng tay,(manually operated) được điều khiển bằng tay,
penis,'pi:nis,(giải phẫu) dương vật,,
merry,'meri,"vui, vui vẻ","(thông tục) ngà ngà say, chếnh choáng","(từ cổ,nghĩa cổ) vui vẻ, thú vị, dễ chịu"
hardening,,một cái gì rắn lại,(y học) bệnh xơ cứng,
zoo,zu:,"(thông tục) ((viết tắt) của zoological garden) vườn bách thú, vườn thú",,
january,'dʤænjuəri,tháng giêng,,
what,w t,"gì, thế nào","sao, vậy thì sao",có tin tức gì về... không?
manhood,'mænhud,"nhân cách, nhân tính",tuổi trưởng thành,"dũng khí, lòng can đảm, tính cương nghị"
soccer,'sɔkə,(thông tục) môn bóng đá,,
seating,,sự sắp xếp chỗ ngồi; chỗ để ngồi; ghế ngồi,,
boring,'bɔ:riɳ,"sự khoan, sự đào",lỗ khoan,(số nhiều) phoi khoan
pizza,,"món pitsa (món ăn của ă, làm bằng bột nhão bẹt (tròn) được phủ phó mát, cá cơm  và nướng trong bếp lò)",,
rainy,'reini,có mưa; có nhiều mưa; hay mưa,,
thirties,,những con số từ 30 đến 39,(the thirties) những năm 30 (của (thế kỷ)),tuổi từ 30 đến 39
kick,kik,trôn chai (chỗ lõm ở đít chai),"cái đá, cú đá (đá bóng); cái đá hậu (ngựa)","sự giật (của súng, khi bắn)"
lading,'leidiɳ,sự chất hàng (lên tàu),hàng hoá (chở trong tàu),(hàng hải) hoá đơn vận chuyển
twenties,,số nhiều twenties,những năm hai mươi,tuổi giữa 20 và 29
subjectivity,səb'dʤektivnis,tính chủ quan; tính chất chủ quan,,
thinner,,chất để pha loãng,,
waiter,'weitə,người hầu bàn,"khay, mâm","người đợi, người chờ; người trông đợi"
boyfriend,,"bạn trai (đi lại thường xuyên với một cô gái, một chị phụ nữ)",,
selves,,số nhiều của self,,
grandma,'grænmɑ:,"uây oác['grænmə,mɑ:]",(thân mật) bà,
with,wi,"với, cùng, cùng với",có,"ở, ở ni"
desirous,di'zaiərəs,"thèm muốn; ước ao, khát khao, mơ ước",,
interviewer,",intəvju:ə",người gặp riêng (những người đến xin việc làm),người phỏng vấn,lỗ nhòm (trong cửa vào)
bathing,'beiðiɳ,sự tắm rửa,,
monies,,xem money,,
parenting,,việc nuôi nấng con cái,,
reasonableness,'ri:znəblnis,tính hợp lý,"sự biết điều; sự vừa phải, sự phải chăng (giá cả)","(từ hiếm,nghĩa hiếm) sự biết suy luận, sự biết suy nghĩ"
visitation,",vizi'teiʃn","sự đi thăm, sự đến thăm, sự thăm hỏi, sự thăm viếng","sự thanh tra, sự kiểm tra (của giám mục, trong địa phận mình)","(động vật học) sự di trú ồ ạt và bất thường (của chim, thú...)"
greet,gri:t,"chào, chào hỏi, đón chào","chào mừng, hoan hô","bày ra (trước mắt); đập vào (mắt, tai); vang đến, vọng đến (tai)"
sixties,,số nhiều,những năm sáu mươi,
ultrasonic,'ʌltrə'sɔnik,siêu âm,,
remission,ri'miʃn,"sự tha thứ, sự miễn giảm","sự thuyên giảm, sự dịu bớt (cơn sốt...)",
heredity,hi'rediti,tính di truyền; sự di truyền,,
ming,,(lịch sử TrungHoa) Nhà Minh (1368 - 1644),(lịch sử TrungHoa) Nhà Minh (1368 - 1644),
justifiable,'dʤʌstifaiəbl,"có thể bào chữa được, có thể chứng minh là đúng","hợp pháp, hợp lý, chính đáng",
richly,'ritʃli,"giàu có, phong phú, đầy đủ, dồi dào","lộng lẫy, huy hoàng",hoàn toàn
walled,,có tường bao quanh; (từ lóng) như có tường bao quanh,(lịch sử) có công sự bao bọc,
impersonal,im'pə:snl,"không liên quan đến riêng ai, không nói về riêng ai, không ám chỉ riêng ai, nói trống, bâng quơ; khách quan",không có cá tính con người,(ngôn ngữ học) không ngôi
workable,'wə:kəbl,"có thể làm được, có thể thực hiện được, dễ thực hiện","dễ dùng, dễ cho chạy, dễ điều khiển",dễ khai thác
proletariat,proletariat,giai cấp vô sản,,
machining,,sự gia công cơ khí; sự gia công cắt gọt,,
mountainous,'mauntinəs,"có núi, lắm núi",to lớn khổng lồ,
unbroken,'ʌn'broukən,"không bị bẻ gãy, không sứt mẻ; nguyên vẹn",(nông nghiệp) không cày; chưa cày,không được tập cho thuần (ngựa)
thematic,θi'mætik,(thuộc) chủ đề,,
how,hau,"thế nào, như thế nào; sao, ra sao, làm sao",bao nhiêu; giá bao nhiêu,"làm sao, biết bao, xiếc bao, biết bao nhiêu, sao mà... đến thế"
pet,pet,"cơn giận, cơn giận dỗi","con vật yêu quý, vật cưng","người yêu quý, con cưng..."
sum,sʌm,tổng số; (toán) tổng,số tiền,nội dung tổng quát
practise,'præktis,"thực hành, đem thực hành","làm, hành (nghề...)","tập, tập luyện, rèn luyện"
interplay,'intə'plei,"ảnh hưởng lẫn nhau; sự tác động lẫn nhau[,intə'plei]",ảnh hưởng lẫn nhau; tác động lẫn nhau,
surveying,,sự đo vẽ,forest surveying,sự đo vẽ rừng
cartoon,kɑ:'tu:n,"tranh đả kích, tranh biếm hoạ ((thường) về chính trị)",trang tranh đả kích; trang tranh vui,(hội họa) bản hình mẫu
summation,sʌ'meiʃn,(toán học) sự tổng; phép tổng,phần tóm tắt và kết luận (của một lập luận),
staging,'steidʤiɳ,sự đưa một vở kịch lên sân khấu,sự chạy xe ngựa chở khách (theo chặn đường nhất định),sự bắc giàn
promissory,,hứa hẹn; hẹn (trả tiền ),,
than,ðæn,hơn,,
awoke,ə'weik,"đánh thức, làm thức dậy","(nghĩa bóng) làm thức tỉnh, làm tỉnh ngộ, làm cho nhận thức ra","(nghĩa bóng) khêu gợi, gợi"
foreigner,'fɔrinə,người nước ngoài,tàu nước ngoài,con vật nhập từ nước ngoài; đồ nhập từ nước ngoài
singly,'siɳgli,"đơn độc, một mình, đơn thương độc mã","lẻ, từng người một, từng cái một",
unwarranted,n'w r ntid,không có lý do xác đáng,không được bo đm,
resumption,ri'zʌmpʃn,"sự lấy lại, sự chiếm lại, sự hồi phục lại","sự bắt đầu lại, sự tiếp tục lại (sau khi ngừng)",
readable,'ri:dəbl,"hay, đọc được (sách)","(từ hiếm,nghĩa hiếm) dễ đọc, viết rõ",
ours,'auəz,"cái của chúng ta, cái của chúng tôi, cái của chúng mình","trung đoàn của chúng ta, đội của chúng ta, trung đoàn của chúng tôi, đội của chúng tôi",
cultured,'kʌltʃə,có học thức,"có giáo dục, có văn hoá",
sporting,'spɔ:tiɳ,(thuộc) thể thao; thích thể thao,"thượng võ, thẳng thắn, trung thực; dũng cảm",
cute,kju:t,"lanh lợi, sắc sảo, tinh khôn","(từ Mỹ,nghĩa Mỹ) duyên dáng, đáng yêu, xinh xắn",
rehearing,'ri:'hiəriɳ,(pháp lý) sự nghe trình bày lại,,
outlying,"'aut,laiiɳ","ở xa, ở ngoài rìa, xa trung tâm, xa xôi hẻo lánh",,
realist,'riəlist,người theo thuyết duy thực,người có óc thực tế,(như) realistic
supermarket,'sju:pə'mɑ:kit,cửa hàng tự động lớn (bán đồ ăn và đồ dùng trong nhà),,
into,"'intu, 'intə","vào, vào trong","thành, thành ra; hoá ra","(toán học),  (từ hiếm,nghĩa hiếm) với (nhân, chia)"
sun,sʌn,"mặt trời, vừng thái dương","ánh nắng, ánh mặt trời","(nghĩa bóng) thế, thời"
thinly,,mỏng; mong manh,,
outright,aut'rait,"hoàn toàn, toàn bộ","thẳng, công khai; toạc móng heo","triệt để, dứt khoát"
sprung,spriɳ,sự nhảy; cái nhảy,mùa xuân (đen & bóng),suối
doctorate,'dɔktərit,học vị tiến sĩ,,
ageing,'eidʤiɳ,sự hoá già,,
flooring,flooring,nguyên vật liệu làm sàn,sự làm sàn nhà,
washer,'wɔʃə,"người giặt, người rửa",máy giặt (quần áo); máy đãi (quặng),giẻ rửa bát
fullness,'fulnis,sự đầy đủ,sự no đủ,"sự đầy đặn, sự nở nang"
eats,i:ts,"(từ Mỹ,nghĩa Mỹ),  (từ lóng) thức ăn, đồ ăn",,
surf,sə:f,sóng nhào,"(thể dục,thể thao) lướt sóng",
hideous,'hidiəs,gớm guốc (hình thù); ghê tởm (tinh thần đạo đức),,
unnoticed,'ʌn'noutist,"không ai thấy, không ai để ý","bị bỏ qua, bị làm ngơ, bị coi là thường",
rightful,'raitful,"ngay thẳng, công bằng, đúng đắn (hành động, cách cư xử); hợp pháp",,
tensor,'tensə,(giải phẫu) cơ căng,,
siding,'saidiɳ,đường tàu tránh,"(từ Mỹ,nghĩa Mỹ) lớp ván gỗ ngoài giàn khung",
supersonic,'sju:pə'sɔnik,máy bay vượt âm,,
numbering,,sự ghi số vào cái gì; sự đánh số,,
shortening,'ʃɔtniɳ,sự thu ngắn lại,mỡ pha vào bánh cho xốp giòn,
aeroplane,'eərəplein,"máy bay, tàu bay",,
cloudy,'klaudi,"có mây phủ, đầy mây; u ám","đục, vẩn","tối nghĩa, không sáng tỏ, không rõ ràng (văn)"
cookie,'kuki,(Ê-cốt) bánh bao,"(từ Mỹ,nghĩa Mỹ) bánh dẹt nhỏ, bánh quy",
tenement,'tenimənt,"nhà ở, phòng ở",(pháp lý) đất đai nhà cửa hưởng dụng,"nhà nhiều buồng, nhà tập thể"
noticeably,,"đáng lưu ý, đáng quan tâm",,
habitation,",hæbi'teiʃn","sự ở, sự cư trú","nhà ở, nơi cứ trú",
boating,'boutiɳ,sự đi chơi bằng thuyền,cuộc đi chơi bằng thuyền,
discard,'diskɑ:d,"sự chui bài, sự dập bài","quân chui bài, quân bài dập","(đánh bài) chui, dập"
closeness,'klousnis,"sự gần gũi, sự thân mật",sự chật chội; sự bí hơi; sự ngột ngạt khó thở (không khí...),"tính dày chặt, tính khít, tính mau (vải...)"
cornea,'kɔ:niə,"(giải phẫu) màng sừng, giác mạc (mắt)",,
legged,,có chân,,
bodied,'bɔdid,có thân thể ((thường) ở từ ghép),,
weathering,'weθəriɳ,"thời tiết, nắng mưa, gió mưa, tuyết sương","sự mòn, sự vụn, sự rã ra, sự đổi màu (vì nắng mưa), sự dãi nắng dầm mưa","(địa lý,địa chất) sự phong hoá"
grandpa,grandpa,nhuấy &,,
bye,bai,"thứ yếu, phụ","cái thứ yếu, cái phụ",(như) by the by
persona,pə:'sounə,(ngoại giao) người,,
unclean,'ʌn'kli:n,"bẩn, bẩn thỉu","(tôn giáo) ô trọc, không tinh khiết",dâm ô
habitually,,"đều đặn, thường xuyên",,
sighted,,có thể nhìn thấy; không mù,(trong tính từ ghép) có loại thị lực như thế nào đó,
legation,li'geiʃn,"việc cử đại diện, việc cử phái viên",công sứ và những người tuỳ tùng,toà công s
twelve,twelv,mười hai,số mười hai,
coloration,",kʌlə'reiʃn","sự tô màu, sự nhuộm màu, sự sơn màu",màu sắc,
boyhood,'bɔihud,thời niên thiếu,,
catchment,'kætʃmənt,"sự hứng nước, sự dẫn nước",,
rationing,,(Econ) Chia khẩu phần.,,
eleven,i'levn,mười một,số mười một,đội mười một người
unclassified,'ʌn'klæsifaid,chưa được phân loại,"(từ Mỹ,nghĩa Mỹ) không được coi là mật (tài liệu)",
selfishness,'selfiʃnis,tính ích kỷ,,
putative,'pju:tətiv,"giả định là, được cho là, được coi là",,
blackness,'blæknis,màu đen,"sự tối tăm; bóng tối, chỗ tối",(nghĩa bóng) sự đen tối
finder,'faində,"người tìm ra, người tìm thấy",(kỹ thuật) bộ tìm,
cater,'keitə,"cung cấp thực phẩm, lương thực","phục vụ cho, mua vui cho, giải trí cho",
shorten,'ʃɔ:tn,"thu ngắn lại, thu hẹp vào",mặc quần soóc (cho trẻ em),cho mỡ (vào bánh cho xốp giòn)
corneal,'kɔ:niəl,(giải phẫu) (thuộc) màng sừng,,
readership,,địa vị phó giáo sư; chức phó giáo sư,"số người đọc một tờ báo, tạp chí..., tập thể độc giả của một tờ báo, tạp chí...",
stoppage,'stɔpidʤ,"sự ngừng lại, sự đình chỉ","sự tắc, sự nghẽn",
starter,'stɑ:tlə,người ra lệnh xuất phát (một cuộc đua),đấu thủ xuất phát trong cuộc đua,(kỹ thuật) nhân viên điều độ
rebirth,'ri:'belou,"sự sinh lại, sự hiện thân mới",,
wheeling,,sự đi xe đạp,chỗ ngoặc,tình trạng đường xá
unreal,' n'ri l,"không thực, không thực tế, h o huyền",,
notary,'noutəri,công chứng viên ((cũng) notary public),,
summing,,"tổng, phép cộng",,
swam,,xem swim,,
jewellery,'dʤu:əlri,"đồ châu báu; đồ nữ trang, đồ kim hoàn (nói chung)",nghệ thuật làm đồ kim hoàn,nghề bán đồ châu báu; nghề bán đồ kim hoàn
bookstore,bukstɔ:,"(từ Mỹ,nghĩa Mỹ) hiệu sách",,
afternoons,,vào các buổi chiều (như là một thói quen),,
thickening,'θikniɳ,sự dày đặc,chất (vật) làm cho đặc (xúp...),chỗ đông người; chỗ dày đặc
upkeep,' pki:p,"sự bo dưỡng, sự sửa sang","phí tổn bo dưỡng, phí tổn sửa sang",
storey,'stɔ:ri,"tầng, tầng gác",(nghĩa bóng) bộ óc,
momentous,mou'mentəs,"quan trong, trọng yếu",,
wheeled,'wi:ld,có bánh xe,,
pooling,,"sự hợp nhất, sự gộp",p. of classes (thống kê) sự gộp các lớp,
reputable,'repjutəbl,"có tiếng tốt, danh giá; đáng kính trọng",,
rationalization,",ræʃnəlai'zeiʃn",sự hợp lý hoá,sự giải thích duy lý,(toán học) sự hữu tỷ hoá
manageable,'mænidʤəbl,"có thể quản lý, có thể trông nom","có thể điều khiển, có thể sai khiến","dễ cầm, dễ dùng, dễ sử dụng"
mania,'meinjə,"chứng điên, chứng cuồng","tính gàn, tính kỳ quặc","tính ham mê, tính nghiện"
pairing,,danh từ,(sinh vật học) sự ghép đôi; kết đôi; kết cặp,
proletarian,proletarian,vô sản,người vô sản,
manly,'mænli,"có tính chất đàn ông; có đức tính đàn ông; hùng dũng, mạnh mẽ, can đảm, kiên cường",có vẻ đàn ông (đàn bà),hợp với đàn ông (đồ dùng)
lettering,'letəriɳ,"sự ghi chữ, sự in chữ, sự viết chữ, sự khắc chữ, chữ in, chữ viết, chữ khắc",sự viết thư,
pivot,'pivət,"trụ, ngõng, chốt",(quân sự) chiến sĩ đứng làm chốt (khi một đội quân xoay hướng đi),"(nghĩa bóng) điểm then chốt, điểm mấu chốt"
watchful,'wɔtʃful,"thận trọng, cảnh giác, đề phòng","thức, thao thức, không ngủ",
whiteness,'waitnis,"sắc trắng, màu bạc",sắc tái nhợt (mặt...),"(nghĩa bóng) sự ngây th, sự trong trắng"
copious,'koupiəs,"phong phú, dồi dào, hậu hỉ",,
notoriously,,"(nghĩa xấu) lừng danh, khét tiếng",,
reopen,'ri:'oupən,"mở lại; lại tiếp tục, bắt đầu lại (sau một thời gian gián đoạn)",,
banded,,đầu thắt giải buộc,,
grounding,'graundiɳ,sự mắc cạn (tàu thuỷ),sự hạ cánh (máy bay); sự bắn rơi (máy bay),sự truyền thụ kiến thức vững vàng
uneasiness,ʌn'i:zinis,"trạng thái không thoải mái, trạng thái bực bội, trạng thái bứt rứt, trạng thái khó chịu","trạng thái lo lắng, trạng thái băn khoăn, trạng thái không yên tâm",
unreasonably,,xem unreasonable,,
springing,,sự đàn hồi,sự treo bằng lò xo,đế vòm
waitress,'weitris,chị hầu bàn,,
sonic,'sɔnik,(thuộc) âm thanh,,
coldly,'kouldli,"lạnh nhạt, hờ hững, nhẫn tâm",,
june,dʤu:n,tháng sáu,,
untenable,' n'ten bl,"không giữ được, không vững","không c i được, không biện hộ được, không bo vệ được",
thee,ði:,"(thơ ca); (tôn giáo) ngươi, anh, người",,
ratify,'rætifai,"thông qua, phê chuẩn",,
subjection,səb'dʤəkʃn,"sự chinh phục, sự khuất phục",sự đưa ra (để góp ý...),
towering,'tauəriɳ,"cao, cao ngất, cao vượt hẳn lên","mạnh mẽ, dữ tợn, hung dữ, dữ dội",
penance,'penəns,"sự ăn năn, sự hối lỗi",sự tự hành xác để hối lỗi,làm cho (ai) phải ăn năn
summarily,,sơ lược; tóm tắt,giản lược,
colouring,'kʌləriɳ,"màu (mặt, tóc, mắt)","thuốc màu, phẩm màu","cách dùng màu, cách tô màu"
shea,ʃiə,"(thực vật học) cây hạt mỡ (loài cây Tây phi, hạt cho một chất mỡ trắng, dùng để ăn hay thắp đèn) ((cũng) shea tree)",,
blackish,'blækiʃ,"hơi đen, đen đen",,
unthinkable,n' i k bl,không thể nghĩ ra được; không thể tưởng tượng được,(thông tục) không thể có,
muster,'mʌstə,"sự tập hợp, sự tập trung",(quân sự) sự duyệt binh,"sự hội họp, sự tụ họp"
gotta,,"phải, cần phải",,
outspoken,aut'spoukn,"nói thẳng, trực tính",thẳng thắn (lời phê bình...),
some,"sʌm, səm",nào đó,"một ít, một vài, dăm ba","khá nhiều, đáng kể"
periodicity,",piəri'disiti",tính chu kỳ,"tính định kỳ, tính thường kỳ",tính tuần hoàn
cornish,,thuộc về xứ Cornwall,,
meteor,'mi:tjə,"sao sa, sao băng",hiện tượng khí tượng,(thông tục) người bỗng nổi tiếng như cồn; vật bổng nổi tiếng như cồn
bridging,,(Tech) rẽ mạch; nối tắt,,
tooling,,(kỹ thuật) sự gia công bằng máy,việc trang bị dụng cụ máy móc,sự hiệu chỉnh (máy công cụ)
prepayment,'pri'peimənt,sự trả trước,,
comer,'kʌmə,người đến,"(từ Mỹ,nghĩa Mỹ),  (thông tục) người có triển vọng, vật có triển vọng","bất cứ ai đề nghị, bất cứ ai nhận sự thách thức..."
unjustified,,phi lý,không được lý giải,
snowy,'snoui,"đầy tuyết, phủ tuyết, nhiều tuyết",,
siting,,sự chọn địa điểm,,
reputed,ri'pju:tid,"có tiếng tốt, nổi tiếng","được cho là, được giả dụ là, được coi là",
subclass,'sʌbklɑ:s,(sinh vật học) phân lớp,,
rationalism,ræʃnəlizm,chủ nghĩa duy lý,,
ridden,raid,"sự đi chơi, cuộc đi chơi (bằng ngựa, xe đạp, xe ô tô, xe buýt, xe lửa...)",đường xe ngựa đi qua rừng,(quân sự) lớp kỵ binh mới tuyển
classifier,,người phân loại,,
legible,,"rõ ràng, dễ đọc",,
tomorrow,tə'mɔrou,morrow),"mai, ngày mai",
nineties,,độ tuổi từ 9 o đến 99,những con số từ 90 đến 99,
illegible,i'ledʤəbl,"khó đọc, không đọc được (chữ viết...)",,
icing,'aisiɳ,sự đóng băng,"sự ướp nước đá, sự ướp lạnh",kem lòng trắng trứng; đường cô (để phủ trên mặt bánh ngọt)
discoloration,dis'kʌləmənt,sự đổi màu; sự bẩn màu; sự bạc màu,sự làm đổi màu; sự làm bẩn màu; sự làm bạc màu,
deputation,",depju:'teiʃn",sự uỷ nhiệm,sự cử đại biểu,"đại biểu, đại diện; đoàn đại biểu, phái đoàn"
healthful,'helθful,lành mạnh,"có lợi cho sức khoẻ, làm tăng sức khoẻ",
fifteen,'fif'ti:n,mười lăm,,
thankfully,,một cách biết ơn,<thgt> tôi/ chúng tôi rất vui mừng; may mắn,
siren,'saiərin,(số nhiều) tiên chim (thần thoại Hy lạp),người hát có giọng quyến rũ,"còi tầm, còi báo động"
you,ju:,"anh, chị, ông, bà, ngài, ngươi, mày; các anh, các chị, các ông, các bà, các ngài, các người, chúng mày","ai, người ta",
pigmentation,",pigmən'teiʃn",màu da (do chất sắc trong tế bào da tạo thành),,
resonator,'rezəneitə,(vật lý) cái cộng hưởng,,
sizing,,"suất ăn, khẩu phần (ở đại học Căm-brít)",,
caricature,",kærikə'tjuə",lối vẽ biếm hoạ,tranh biếm hoạ,vẽ biếm hoạ
nothingness,'nʌθiɳnis,"hư vô, hư không","tính vô tài, tính vô giá trị, tính nhỏ mọn, tính tầm thường",
giver,'givə,"người cho, người biếu, người tặng",,
metrical,'metrikəl,có vận luật ((thơ ca)),(thuộc) sự đo; mêtric,
miscarriage,mis'kæridʤ,"sự sai, sự sai lầm",sự thất bại (kế hoạch...),"sự thất lạc (thư từ, hàng hoá)"
insightful,'insaitful,"sâu sắc, sáng suốt",,
whilst,wailst,(như) while,,
stopper,'stɔpə,"người làm ngừng, người chặn lại; vật làm ngừng, vật chặn lại","nút, nút chai","(hàng hải) dây buộc; móc sắt (để buộc, móc dây cáp)"
imputation,",impju:'teiʃn","sự đổ tội, sự quy tội (cho người nào)","tội đổ cho ai, lỗi quy cho ai, điều quy cho ai",
illegality,,sự không hợp pháp; tính không hợp pháp,<snh> hành động không hợp pháp,
untold,' n'tould,"không kể lại, không nói ra","không kể xiết, không biết bao nhiêu mà kể",
payer,'peiə,người trả tiền,,
repute,ri'pju:t,"tiếng, tiếng tăm, lời đồn",tiếng tốt,"cho là, đồn là; nghĩ về, nói về"
imagines,i'meigou,(động vật học) thành trùng,,
oneness,'wʌnnis,"tính chất duy nhất, tính chất độc nhất",tính chất thống nhất,"tính chất tổng thể, tính chất hoà hợp"
famously,'feiməsli,"(thông tục) hay, giỏi, tốt, cừ, chiến",,
fruition,fru:'iʃn,sự hưởng (cái mong muốn); sự thực hiện (nguyện vọng...),"(từ Mỹ,nghĩa Mỹ) sự khai hoa kết trái",
overdose,'ouvədous,liều quá mức,cho quá liều,
personage,'pə:snidʤ,"nhân vật quan trọng, người có địa vị cao sang, người có vai vế","vai, nhân vật (trong truyện, kịch)",người
presumptive,pri'zʌmptiv,"cho là đúng, cầm bằng; đoán chừng",,
unspoken,' n'spoukn,"không nói lên, hiểu ngầm",,
busily,'bizili,bận rộn,,
flagship,'flægʃip,(hàng hải) tàu đô đốc (trong đó có đô đốc),,
dissonance,'disənəns,(âm nhạc) sự nghịch tai; tính không hoà tan,"sự không hoà hợp, sự bất hoà",
catcher,'kætʃə,người bắt tóm,"(thể dục,thể thao) người bắt bóng (bóng chày)",
unhappily,,buồn,"bất hạnh, không may",
forty,'fɔ:ti,bốn mươi,(xem) wink,số bốn mươi
mes,,tiền tố,như meso,tiền tố
attest,ə'test,"chứng nhận, nhận thực, chứng thực","bắt thề, bắt tuyên thệ",làm chứng
artisan,",ɑ:ti'zæn",thợ thủ công,,
submissive,səb'misiv,"dễ phục tùng, dễ quy phục; dễ bảo, ngoan ngoãn",,
hateful,'heitful,"đầy căm thù, đầy căm hờn","đáng căm thù, đáng căm hờn, đáng căm ghét",
keyed,,có khoá,(âm nhạc) theo âm điệu,"(kiến trúc) đã được chèn, đóng chốt"
overrun,'ouvərʌn,"sự lan tràn, sự tràn ra","sự vượt quá, sự chạy vượt","số lượng (in...) thừa[,ouvə'rʌn]"
nosed,,(tạo thành tính từ kép) có cái mũi như thế nào đó,red-nosed,mũi đỏ
fillet,'filit,"dây bưng, dải lụa (để buộc đầu)",(y học) băng (để buộc bó vết thương),(kiến trúc) đường chỉ vòng
unspeakable,n'spi:k bl,"không thể nói được, không diễn t được; không t xiết",,
itemized,'aitemaizd,"ghi thành từng khoản, ghi thành từng món",,
flyer,flyer,"vật bay, con vật có cánh (như chim, sâu bọ...)",xe đi nhanh như bay; con vật bay nhanh,người lái máy bay
coldness,'kouldnis,"sự lạnh, sự lạnh lẽo",,
lotion,'louʃn,"nước thơm (để gội đầu, để tắm)",thuốc rửa (vết thương),"(từ lóng) chất cay, rượu"
hotly,,"sôi động, kịch liệt",,
ghostly,'goustli,(thuộc) ma quỷ; như một bóng ma,"(từ cổ,nghĩa cổ) (thuộc) tinh thần",lý lẽ tôn giáo
imbedded,,"bị nhúng, được nhúng",wildly i. (tô pô) bị nhúng thô,
cleverly,,"khéo léo, sắc sảo, khôn ngoan",,
toothed,'tu:θt,có răng; khía răng cưa,,
speciality,",spəʃi'æliti","đặc tính, đặc trưng, nét đặc biệt",ngành chuyên môn,
fanatical,fə'nætik,người cuồng tín,cuồng tín,
fastener,'fɑ:snə,"người buộc, người đóng","cái khoá, cái hầm, cái móc, cái chốt ((cũng) fastening)",
milk,milk,sữa,"nhựa mủ (cây), nước (dừa...)",(xem) spill
immanent,'imənənt,(triết học),nội tại,(tôn giáo) ở khắp nơi (Chúa)
eighteen,'ei'ti:,mười tám,số mười tám,
sitter,'sitə,người ngồi,người mẫu (để vẽ),gà ấp
rationalize,'ræʃnəlaiz,hợp lý hoá (một ngành sản xuất),giải thích duy lý (tín ngưỡng...) làm cho (hành vi tư tưởng...) phù hợp với lẽ phải,(toán học) hữu tỷ hoá
artifice,'ɑ:tifis,"mẹo, mưu mẹo, gian ngoan, ngón gian xảo","tài khéo léo, kỹ xảo",cái được sáng chế ra một cách tài tình; cái được sáng chế tinh xảo
tenable,'tenəbl,"giữ được, bảo vệ được, cố thủ được (vị trí, địa vị, đồn luỹ...)","cãi được, biện hộ được, bảo vệ được (lập luận, lý lẽ...); lôgic",
volleyball,'vɔlibɔ:l,"(thể dục,thể thao) bóng chuyền",,
fanaticism,fə'nætisizm,sự cuồng tín,,
darkly,'dɑ:kli,"tối tăm, tối mò","mờ mịt, mơ hồ, không rõ ràng, không minh bạch","ảm đạm, buồn rầu, ủ ê"
sickly,'sikli,"hay ốm, có vẻ ốm yếu, đau yếu; gầy yếu","xanh, xanh xao","độc; tanh, làm buồn nôn"
harden,'hɑ:dn,"làm cho cứng, làm cho rắn",(kỹ thuật) tôi (thép...),"(nghĩa bóng) làm chai điếng, làm cứng rắn, làm trở thành nhẫn tâm"
paging,,số trang của quyển sách,thứ tự các trang,
tenacious,ti'neiʃəs,"dai, bền, bám chặt","bền bỉ, dẻo dai, ngoan cường, kiên trì","gan lì, ngoan cố"
justifiably,,chính đáng,,
revisit,'ri:'vizit,đi thăm lại,,
iced,aist,đóng băng,phủ băng,"ướp nước đá, ướp lạnh, có nước đá"
answerable,'ɑ:nsərəbl,có thể trả lời được,"có thể biện bác, có thẻ cãi lại được",(toán học) có thể giải được
drinker,'driɳkə,người uống,người nghiện rượu,
sixty,'siksti,sáu mươi,số sáu mươi,(số nhiều) (the sixties) những năm sáu mươi (từ 60 đến 69 của (thế kỷ)); những năm tuổi thọ trên sáu mươi (từ 60 đến 69)
notoriety,",noutə'raiəti","trạng thái rõ ràng, trạng thái hiển nhiên, trạng thái ai cũng biết","(thường),  (nghĩa xấu) người nổi danh, người ai cũng biết",
sunday,'sʌndi,ngày chủ nhật,(định ngữ) (thuộc) chủ nhật,(xem) month
hades,'heidi:z,"âm ty, âm phủ",diêm vương,
artistically,,"khéo léo, sắc sảo",,
mommy,,mẹ (cũng) mummy,,
greyish,'greiiʃ,"hơi xám, xam xám",,
mouthful,'mauθful,miếng (đầy mồm),,
boyish,'bɔiiʃ,"(thuộc) trẻ con, như trẻ con",,
rethink,,"suy tính lại, cân nhắc lại","sự suy tính lại, sự cân nhắc lại",
saver,'seivə,cái để tiết kiệm; mẹo để tiết kiệm,,
gladness,'glædnis,"sự sung sướng, sự vui mừng, sự vui vẻ, sự hân hoan",,
fours,,"đếm cách một (1, 3, 5, 7...), cách hai, cách ba...",column c. tính theo cột,digit c. tính chữ số
unsold,' n'sould,(thưng nghiệp) không bán được,,
cornice,'kɔ:nis,(kiến trúc) gờ; mái đua,khối tuyết cứng trên miệng vực thẳm,
mouthed,,có kiểu mồm như thế nào đó,có lối ăn nói như thế nào đó,
shyness,'ʃainis,"tính nhút nhát, tính bẽn lẽn, tính e thẹn",,
wearer,'weərə,"người mang, người đeo; người mặc; người đội",,
subjectively,,xem subjective,,
nightly,'naitli,"về đêm, đêm đêm",(thơ ca) (thuộc) đêm; hợp với ban đêm,"về đêm, đêm đêm"
unrealized,' n'ri laizd,chưa thực hiện,"không thấy rõ, không nhận thức rõ",không bán được; không thu được (l i)
